x,y,x_ref,y_ref
3.5506813526153564,2.3319852352142343,3.618540026608905,2.477059718648454
3.6321539878845215,2.3296878337860116,3.7456340387261493,2.46497635412022
3.7337472438812256,2.322176694869996,3.807268100146246,2.453773533406267
3.7943127155303955,2.31441354751587,3.8675983203537267,2.4391490146353907
3.8834826946258545,2.2987432479858407,3.926603852100226,2.421123010207667
3.941499948501587,2.284759759902955,4.040559757008435,2.374970865344512
4.0426812171936035,2.2505478858947763,4.0954707524413125,2.3469085113235906
4.120612621307373,2.214287996292115,4.201063962708359,2.281005109983187
4.1985249519348145,2.159318923950196,4.300897997375483,2.2023744414826605
4.280980110168457,2.0893144607543954,4.34861188901324,2.158419493970096
4.340317726135254,2.03227186203003,4.3948348768290275,2.1114510542433247
4.382560729980469,1.9860361814498908,4.439550988361557,2.0615340369097637
4.421830177307129,1.9358252286911017,4.482744771854155,2.0087374317762383
4.460627555847168,1.8840683698654181,4.524401301594149,1.953134208498873
4.505733489990234,1.8188780546188361,4.564506183070494,1.8948012157324456
4.543796539306641,1.7611614465713508,4.603045557947817,1.8338190749186583
4.58121919631958,1.7021214962005622,4.640006108855206,1.7702720688600364
4.618361473083496,1.6391065120697028,4.67537506398806,1.7042480252335217
4.666504383087158,1.5553437471389777,4.709140201521404,1.6358381952047367
4.690931797027588,1.5015591382980353,4.74128985383318,1.5651371273106454
4.724696159362793,1.4263592958450324,4.771812911536017,1.4922425367849976
4.747919082641602,1.3718994855880744,4.800698827316109,1.4172551705070664
4.7778801918029785,1.291584491729737,4.827937619577858,1.3402786677604108
4.798631191253662,1.2342305183410651,4.853519875893041,1.2614194169940767
4.819109916687012,1.1758788824081428,4.877436756253301,1.180786408784168
4.843033313751221,1.1047683954238898,4.8996799961248225,1.0984910851990988
4.865723609924316,1.0331097841262824,4.920241909304168,1.0146471857766064
4.882912635803223,0.9580327272415169,4.939115390574263,0.9293705903254944
4.903539180755615,0.8564473390579231,4.956293918159616,0.8427791587693267
4.920602321624756,0.7631202340126045,4.971771555979939,0.7549925682533879
4.932088375091553,0.6943834424018868,4.985542955701369,0.6661321477401372
4.946967601776123,0.5975618958473213,4.9976033585846,0.5763207103216446
4.9584150314331055,0.5127276778221138,5.007948597129275,0.48568238348086407
4.9706621170043945,0.4130021035671242,5.016575096514076,0.394342437536304
