__time,/fmu/out/actuator_outputs/noutputs,/fmu/out/actuator_outputs/output[0],/fmu/out/actuator_outputs/output[10],/fmu/out/actuator_outputs/output[11],/fmu/out/actuator_outputs/output[12],/fmu/out/actuator_outputs/output[13],/fmu/out/actuator_outputs/output[14],/fmu/out/actuator_outputs/output[15],/fmu/out/actuator_outputs/output[1],/fmu/out/actuator_outputs/output[2],/fmu/out/actuator_outputs/output[3],/fmu/out/actuator_outputs/output[4],/fmu/out/actuator_outputs/output[5],/fmu/out/actuator_outputs/output[6],/fmu/out/actuator_outputs/output[7],/fmu/out/actuator_outputs/output[8],/fmu/out/actuator_outputs/output[9],/fmu/out/actuator_outputs/timestamp,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],py,pz
1723722467.339014,,,,,,,,,,,,,,,,,,,-0.000369365,-0.000485164,0.000245136,0.000048253,0.000063627,0.026038736,1.000000000,30.542329788,8.284566879,-0.522570431,0.000074071,0.000074073,0.100721188,0.982878625,-0.015453738,0.017052116,-0.182811722,0.000000000,17.000000000,1723722467327586.000000000,1723722467326588.000000000,0.001206734,0.006232364,0.109018207,1.000000000,0.000786343,0.000786317,0.003390659,-8.284566879,0.522570431
1723722467.347723,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467336443.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.347980,,,,,,,,,,,,,,,,,,,0.000736656,-0.000218195,-0.000402326,0.000048309,0.000063660,0.026040426,1.000000000,30.542316437,8.284562111,-0.522508919,0.000078126,0.000078128,0.100886315,0.982877314,-0.015451424,0.017050723,-0.182818726,0.000000000,17.000000000,1723722467339053.000000000,1723722467338228.000000000,0.001413745,0.006127183,0.108740374,1.000000000,0.000811649,0.000811632,0.003408373,-8.284562111,0.522508919
1723722467.354503,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467346458.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.356809,,,,,,,,,,,,,,,,,,,0.000864344,-0.000522479,-0.000949913,0.000048358,0.000063657,0.026042042,1.000000000,30.542304993,8.284554482,-0.522478700,0.000082141,0.000082143,0.101041771,0.982875943,-0.015450859,0.017046023,-0.182826966,0.000000000,17.000000000,1723722467350579.000000000,1723722467349743.000000000,0.001472602,0.006043270,0.108834960,1.000000000,0.000834552,0.000834544,0.003423946,-8.284554482,0.522478700
1723722467.362840,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467356471.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.372149,,,,,,,,,,,,,,,,,,,-0.001647550,-0.002027589,0.000251097,0.000048380,0.000063685,0.026043700,1.000000000,30.542293549,8.284546852,-0.522397578,0.000086472,0.000086474,0.101201631,0.982874751,-0.015447994,0.017041920,-0.182833999,0.000000000,17.000000000,1723722467362618.000000000,1723722467360632.000000000,0.001566323,0.005851826,0.108995780,1.000000000,0.000858509,0.000858510,0.003440222,-8.284546852,0.522397578
1723722467.372375,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467366490.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.387376,,,,,,,,,,,,,,,,,,,0.002367347,-0.001234136,0.001389266,0.000048393,0.000063713,0.026045440,1.000000000,30.542284012,8.284545898,-0.522144854,0.000091247,0.000091250,0.100537598,0.982874632,-0.015448065,0.017037548,-0.182835102,0.000000000,17.000000000,1723722467374120.000000000,1723722467372271.000000000,0.001354936,0.005898088,0.109147079,1.000000000,0.000884558,0.000884562,0.003453798,-8.284545898,0.522144854
1723722467.387723,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467376506.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.396686,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467386521.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.396710,,,,,,,,,,,,,,,,,,,-0.000889898,-0.001285526,-0.001712495,0.000048430,0.000063735,0.026047252,1.000000000,30.542270660,8.284543991,-0.521887243,0.000096507,0.000096509,0.100712240,0.982873559,-0.015450332,0.017035557,-0.182840988,0.000000000,17.000000000,1723722467385616.000000000,1723722467384787.000000000,0.001350955,0.005599453,0.109008037,1.000000000,0.000912661,0.000912676,0.003473029,-8.284543991,0.521887243
1723722467.416966,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467397030.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.417166,,,,,,,,,,,,,,,,,,,0.000308197,-0.000551524,0.000134752,0.000048471,0.000063795,0.026048940,1.000000000,30.542259216,8.284541130,-0.521574497,0.000101832,0.000101834,0.100880757,0.982872248,-0.015453454,0.017031660,-0.182847977,0.000000000,17.000000000,1723722467397089.000000000,1723722467396302.000000000,0.001395023,0.005499597,0.109252505,1.000000000,0.000939164,0.000939150,0.003490750,-8.284541130,0.521574497
1723722467.419015,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467406547.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.419304,,,,,,,,,,,,,,,,,,,0.000471888,-0.000519736,0.000805066,0.000048501,0.000063778,0.026050627,1.000000000,30.542247772,8.284536362,-0.521321237,0.000107165,0.000107168,0.101042129,0.982871950,-0.015453962,0.017032217,-0.182849199,0.000000000,17.000000000,1723722467408669.000000000,1723722467407692.000000000,0.001611568,0.005696642,0.109091789,1.000000000,0.000963849,0.000963833,0.003506860,-8.284536362,0.521321237
1723722467.423237,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467416544.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.430040,,,,,,,,,,,,,,,,,,,-0.000019833,0.000249370,-0.000228988,0.000048552,0.000063810,0.026052348,1.000000000,30.542238235,8.284540176,-0.520928085,0.000113082,0.000113084,0.101213485,0.982871056,-0.015456918,0.017031716,-0.182854116,0.000000000,17.000000000,1723722467420169.000000000,1723722467419206.000000000,0.001629690,0.005790961,0.108939618,1.000000000,0.000991069,0.000991022,0.003524773,-8.284540176,0.520928085
1723722467.432196,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467426561.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.441391,,,,,,,,,,,,,,,,,,,-0.000080799,-0.001930477,-0.000294511,0.000048588,0.000063812,0.026053974,1.000000000,30.542230606,8.284543991,-0.520553887,0.000118864,0.000118867,0.101373948,0.982870162,-0.015462712,0.017028540,-0.182858646,0.000000000,17.000000000,1723722467432170.000000000,1723722467430345.000000000,0.001839301,0.005974514,0.109135717,1.000000000,0.001015571,0.001015482,0.003540357,-8.284543991,0.520553887
1723722467.443670,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467436575.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.594408,,,,,,,,,,,,,,,,,,,-0.002823420,-0.000293074,-0.000377592,0.000048626,0.000063855,0.026055671,1.000000000,30.542222977,8.284550667,-0.520154357,0.000125303,0.000125305,0.101545393,0.982868969,-0.015469886,0.017027400,-0.182864353,0.000000000,17.000000000,1723722467443640.000000000,1723722467441860.000000000,0.001518155,0.005963148,0.109361820,1.000000000,0.001042775,0.001042680,0.003557910,-8.284550667,0.520154357
1723722467.594447,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467446595.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.604200,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467526200.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.604211,,,,,,,,,,,,,,,,,,,0.000379990,0.000317450,0.000068681,0.000048215,0.000063518,0.026043979,1.000000000,30.542112350,8.284544945,-0.518350363,0.000070257,0.000070257,0.100598603,0.982862473,-0.015485641,0.017035667,-0.182897225,0.000000000,17.000000000,1723722467524769.000000000,1723722467523965.000000000,0.000921815,0.005084929,0.108314082,1.000000000,0.000761020,0.000761006,0.003370665,-8.284544945,0.518350363
1723722467.608683,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467536709.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.608691,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467546711.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
