,t,q_w,q_x,q_y,q_z,w_x,w_y,w_z,motor_FR,motor_BR,motor_BL,motor_FL
27,1.35,1.0,9.579106506502496e-20,-4.886495507586502e-20,1.1059093988607895e-20,3.907984627890018e-20,-1.8358439414739126e-19,1.1582775331593596e-19,0.00011974172954840589,0.00011974172954840597,0.00011974172954840581,0.00011974172954840594
28,1.4000000000000001,1.0,9.482921613529234e-20,-5.309103147579259e-20,1.4054643637115533e-20,-8.209797164016996e-20,-1.6904305599710283e-19,1.2301737203980112e-19,0.00012006513796827574,0.0001200651379682758,0.00012006513796827573,0.00012006513796827578
29,1.4500000000000002,1.0,9.241323339053089e-20,-5.743828569363925e-20,1.7185997194851733e-20,-1.06333535223984e-19,-1.7873728143062845e-19,1.2701160466417065e-19,0.00012034186035592996,0.00012034186035592999,0.00012034186035592996,0.00012034186035592999
30,1.5,1.0,8.963371719201221e-20,-6.154318427564775e-20,2.039324117245096e-20,-1.2572198609103523e-19,-1.302661542630004e-19,1.2956791354376718e-19,0.00012057869787853222,0.00012057869787853222,0.00012057869787853218,0.00012057869787853224
31,1.55,1.0,8.600595626806006e-20,-6.383041558887019e-20,2.3660398639415723e-20,-1.4995754967484925e-19,-5.755946351155831e-20,1.3180468381341414e-19,0.00012078143983091101,0.00012078143983091101,0.00012078143983091098,0.00012078143983091103
32,1.6,1.0,8.201466189035069e-20,-6.454233526914473e-20,2.6991463828370404e-20,-1.790402259754261e-19,-4.241223627167448e-21,1.3484030060793498e-19,0.0001209550204282453,0.00012095502042824531,0.00012095502042824527,0.00012095502042824533
33,1.6500000000000001,1.0,7.765983405888411e-20,-6.404247677022856e-20,3.038244250669062e-20,-1.5965177510837487e-19,2.9688565390172197e-20,1.3579891643778368e-19,0.00012110364956682208,0.00012110364956682205,0.00012110364956682209,0.00012110364956682207
34,1.7000000000000002,1.0,7.415325095285102e-20,-6.305790699963612e-20,3.374146732401588e-20,-1.2572198609103523e-19,5.3924128973986227e-20,1.3276329964326284e-19,0.0001212309223333918,0.00012123092233339177,0.00012123092233339181,0.00012123092233339178
35,1.75,1.0,7.149491257225142e-20,-6.183098159320554e-20,3.704457288459997e-20,-9.179219707369557e-20,5.3924128973986227e-20,1.319644531183889e-19,0.00012133991105168888,0.00012133991105168887,0.0001213399110516889,0.00012133991105168891
36,1.8,1.0,6.992717455292344e-20,-6.048287836885589e-20,4.035966114305717e-20,-5.3015295339593125e-20,4.422990354046062e-20,1.337219154731115e-19,0.00012143324289501107,0.0001214332428950111,0.00012143324289501107,0.0001214332428950111
37,1.85,1.0,6.835943653359548e-20,-5.974066423410158e-20,4.372667442563118e-20,-7.725085892340715e-20,6.058890895953693e-22,1.3547937782783413e-19,0.00012151316550619802,0.00012151316550619806,0.00012151316550619802,0.00012151316550619803
38,1.9000000000000001,1.0,6.570109815299589e-20,-6.033140609645705e-20,4.7125641569200143e-20,-1.3541621152456082e-19,-4.301812536126988e-20,1.3611845504773327e-19,0.00012158160260756763,0.00012158160260756763,0.00012158160260756763,0.0001215816026075676
39,1.9500000000000002,1.0,6.195215941112467e-20,-6.1770392684246e-20,5.0504637549647254e-20,-1.5480466239161206e-19,-6.725368894508392e-20,1.3388168477808634e-19,0.000121640201221855,0.000121640201221855,0.00012164020122185504,0.00012164020122185497
40,2.0,1.0,5.868793194092971e-20,-6.46635130870638e-20,5.379975464498261e-20,-1.160277606575096e-19,-1.6419594328034002e-19,1.2940814423879247e-19,0.00012169037183786407,0.000121690371837864,0.00012169037183786408,0.000121690371837864
41,2.0500000000000003,1.0,5.602959356033011e-20,-6.888958948699136e-20,5.69470851332163e-20,-8.694508435693277e-20,-1.6904305599710283e-19,1.2205875620995252e-19,0.00012173332262428499,0.00012173332262428488,0.00012173332262428499,0.00012173332262428491
42,2.1,1.0,5.409832208724493e-20,-7.23885989794045e-20,5.989869822285587e-20,-7.240374620664436e-20,-1.0118347796242356e-19,1.1423006026618824e-19,0.00012177008860920723,0.00012177008860920712,0.0001217700886092072,0.00012177008860920715
43,2.15,1.0,5.1803517160402537e-20,-7.419111902095068e-20,6.265459391390134e-20,-1.2087487337427242e-19,-4.7865238078032697e-20,1.0592205640749963e-19,0.00012180155659166112,0.00012180155659166098,0.00012180155659166109,0.000121801556591661
44,2.2,1.0,4.853928969020759e-20,-7.49030387012252e-20,6.519080681060648e-20,-1.4995754967484927e-19,-9.08833634393025e-21,9.761405254881099e-20,0.00012182848642775498,0.00012182848642775489,0.00012182848642775495,0.00012182848642775489
45,2.25,1.0,4.430563967666008e-20,-7.488789147398532e-20,6.753929077396625e-20,-1.9842867684247732e-19,-9.08833634393025e-21,9.026466451997105e-20,0.00012185152923206469,0.00012185152923206464,0.00012185152923206469,0.00012185152923206461
46,2.3000000000000003,1.0,3.87390336660028e-20,-7.572098897217892e-20,6.970004580398066e-20,-2.32358465859817e-19,-6.725368894508392e-20,8.179689135630765e-20,0.00012187124295055625,0.00012187124295055614,0.00012187124295055625,0.00012187124295055612
47,2.35,1.0,3.3051249837426445e-20,-7.776586464956323e-20,7.161315841128416e-20,-1.8388733869218894e-19,-9.633636524566075e-20,7.157165583792165e-20,0.00012188810569112139,0.00012188810569112128,0.0001218881056911214,0.00012188810569112131
48,2.4000000000000004,1.0,2.942348891347428e-20,-8.017427378070476e-20,7.32826228285011e-20,-1.1118064794074685e-19,-9.633636524566075e-20,6.198549753943477e-20,0.00012190252713915153,0.00012190252713915142,0.00012190252713915154,0.00012190252713915143
49,2.45,1.0,2.6522794897036538e-20,-8.221914945808907e-20,7.472841021875335e-20,-1.499575496748493e-19,-6.240657622832111e-20,5.447634020562005e-20,0.00012191485833636726,0.00012191485833636719,0.00012191485833636723,0.00012191485833636715
50,2.5,1.0,2.1562077975974605e-20,-8.390049168171616e-20,7.60184225366552e-20,-2.32358465859817e-19,-7.694791437860952e-20,4.8884414531502707e-20,0.00012192540005970589,0.00012192540005970584,0.00012192540005970589,0.00012192540005970583
51,2.5500000000000003,1.0,1.5026049421964757e-20,-8.606654517701954e-20,7.719260210845033e-20,-2.905238184609707e-19,-9.148925252889794e-20,4.5209720517082733e-20,0.00012193441000210468,0.00012193441000210464,0.00012193441000210467,0.00012193441000210463
52,2.6,1.0,7.39942050668328e-21,-8.859613212608013e-20,7.827491432988497e-20,-3.1960649476154756e-19,-1.1087770339594917e-19,4.1375257197687974e-20,0.00012194210892742087,0.00012194210892742083,0.00012194210892742085,0.00012194210892742081
53,2.6500000000000004,1.0,-7.119196802744799e-22,-9.136807471097887e-20,7.927734189883222e-20,-3.1960649476154756e-19,-1.1087770339594917e-19,3.9458025537990594e-20,0.00012194868594662421,0.00012194868594662423,0.00012194868594662423,0.00012194868594662423
54,2.7,1.0,-8.94443768515131e-21,-9.45035507496348e-20,8.026778676990635e-20,-3.5838339649565004e-19,-1.496546051300516e-19,3.9617794842965374e-20,0.00012195430304105657,0.00012195430304105658,0.00012195430304105658,0.00012195430304105654
55,2.75,1.0,-1.7782844779623492e-20,-9.909316060331959e-20,8.123826047785864e-20,-3.293007201950732e-19,-2.1266707044796807e-19,3.786033248824278e-20,0.00012195909894038333,0.00012195909894038334,0.00012195909894038338,0.00012195909894038334
56,2.8000000000000003,1.0,-2.4924762423228694e-20,-1.0501572645411414e-19,8.214882069644537e-20,-2.468998040101054e-19,-2.4659685946530774e-19,3.4345407778797593e-20,0.00012196319244737126,0.00012196319244737119,0.00012196319244737127,0.00012196319244737121
57,2.85,1.0,-3.024901279804784e-20,-1.1105947012282776e-19,8.295952509942288e-20,-1.8873445140895173e-19,-2.4659685946530774e-19,3.0830483069352406e-20,0.00012196668528840202,0.000121966685288402,0.00012196668528840202,0.00012196668528840198
58,2.9000000000000004,1.0,-3.533090753702884e-20,-1.173455694273795e-19,8.369433908253737e-20,-2.2266424042629137e-19,-2.5144397218207055e-19,2.779486627483156e-20,0.00012196966455733316,0.00012196966455733314,0.00012196966455733314,0.00012196966455733312
59,2.95,1.0,-4.1624580455200544e-20,-1.2302577964233594e-19,8.436524534366195e-20,-2.808295930274451e-19,-1.9812573229767964e-19,2.5877634615134182e-20,0.0001219722048106529,0.00012197220481065286,0.00012197220481065287,0.00012197220481065288
60,3.0,1.0,-4.840296464504853e-20,-1.2737303386018258e-19,8.501618044166468e-20,-2.6144114216039385e-19,-1.6904305599710279e-19,2.6676481140008092e-20,0.00012197436986360401,0.00012197436986360405,0.00012197436986360405,0.00012197436986360405
61,3.0500000000000003,1.0,-5.4090748473624895e-20,-1.3208382153178643e-19,8.570306363328673e-20,-1.9842867684247735e-19,-1.8358439414739121e-19,2.82741741897559e-20,0.00012197621432987512,0.0001219762143298751,0.00012197621432987514,0.00012197621432987515
62,3.1,1.0,-5.771850939757706e-20,-1.3570400884211865e-19,8.640991798803061e-20,-1.1118064794074685e-19,-9.63363652456607e-20,2.843394349473068e-20,0.00012197778494138308,0.00012197778494138304,0.00012197778494138304,0.00012197778494138308
63,3.1500000000000004,1.0,-6.061920341401481e-20,-1.3677946197615038e-19,8.710878387752576e-20,-1.4026332424132366e-19,-9.088336343930196e-21,2.699601974995765e-20,0.0001219791216794777,0.00012197912167947767,0.00012197912167947767,0.00012197912167947766
64,3.2,1.0,-6.436814215588604e-20,-1.3676431474891047e-19,8.774374204503102e-20,-1.4026332424132366e-19,5.453001806358222e-21,2.332132573553768e-20,0.00012198025874443704,0.00012198025874443699,0.00012198025874443706,0.00012198025874443699
65,3.25,1.0,-6.751119180816192e-20,-1.3674916752167057e-19,8.825088476855644e-20,-1.1602776065750963e-19,6.058890895954159e-22,1.709032284152121e-20,0.00012198122538630213,0.00012198122538630205,0.00012198122538630215,0.00012198122538630207
66,3.3000000000000003,1.0,-6.980599673500431e-20,-1.367340202944307e-19,8.858228125660961e-20,-8.209797164017e-20,5.453001806358222e-21,9.101857592782147e-21,0.00012198204661681947,0.00012198204661681934,0.00012198204661681945,0.00012198204661681937
67,3.35,1.0,-7.185844602600855e-20,-1.3587062834175732e-19,8.87139661134443e-20,-8.209797164017e-20,5.877124169074908e-20,2.2317774788665514e-21,0.00012198274381944908,0.00012198274381944903,0.00012198274381944907,0.00012198274381944904
