x,y,z,yaw,x_ref,y_ref,z_ref,yaw_ref
1.2449884414672852,-1.004999637603759,6.268002033233643,43.65284017992387,0.9721571064632084,-0.9297195603863673,6.275202085209706,-0.2564527745263001
1.045591950416565,-0.8156283497810356,6.234201431274414,44.996888218274414,0.788870167874851,-0.7541767142156769,6.238544697492035,-0.2564527745263001
0.8865078091621399,-0.6685341596603386,6.202114105224609,46.12268547149269,0.6045593294566608,-0.5745848739304423,6.201682529808397,-0.2564527745263001
0.7008194327354431,-0.5000936985015861,6.156701564788818,46.754159344831905,0.4194793253618019,-0.391936544772765,6.164666528989425,-0.2564527745263001
0.5328239798545837,-0.34335523843765187,6.11468505859375,46.63416169190092,0.2338859527995585,-0.2072411235162383,6.127547854476976,-0.2564527745263001
0.34701281785964966,-0.17347386479377672,6.068151950836182,46.79763741563444,0.0480357185006157,-0.0215193200856452,6.0903778076171875,-0.2564527745263001
0.18103501200675964,-0.008244609460233903,6.030489444732666,48.23858043380833,-0.04490545666882567,0.071405797063827,6.0717895725833,-0.2564527745263001
0.044886909425258636,0.12928999960422588,5.9982523918151855,50.45640635244853,-0.2306593539457275,0.2567424853923794,6.034638793127919,-0.2564527745263001
-0.12897226214408875,0.30232542753219677,5.951658725738525,51.932848133848196,-0.41602806957038024,0.44054137389565245,5.997565050002988,-0.2564527745263001
-0.3563453257083893,0.5231080651283272,5.900534152984619,52.378861034440185,-0.6927987308736219,0.7111380740443888,5.94221091774234,-0.2564527745263001
-0.6106167435646057,0.7643892765045173,5.855931758880615,52.447368130288254,-0.8760856694619783,0.8866809202150784,5.905553530024669,-0.2564527745263001
-0.772510290145874,0.9158836007118232,5.828757286071777,53.96892764850183,-1.0580953891889833,1.0572046435907654,5.869151586079268,-0.2564527745263001
-0.9304816722869873,1.0589237213134772,5.803243160247803,55.70856638978866,-1.2385763362544409,1.2217668534198245,5.833055396666176,-0.2564527745263001
